,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2012-09-07,20.743511199951172,117.94493865966797,24.301429748535156,144.3300018310547,24.374286651611328,144.38999938964844,24.1346435546875,143.8800048828125,24.2160701751709,144.00999450683594,329666400,107272100
2012-09-10,20.20391082763672,117.27485656738281,23.669286727905273,143.50999450683594,24.403213500976562,144.44000244140625,23.64642906188965,143.4600067138672,24.301786422729492,144.19000244140625,487998000,86458500
2012-09-11,20.138364791870117,117.60179138183594,23.592500686645508,143.91000366210938,23.93214225769043,144.3699951171875,23.446428298950195,143.55999755859375,23.753929138183594,143.60000610351562,503983200,88760000
2012-09-12,20.41883087158203,117.99403381347656,23.921070098876953,144.38999938964844,23.924999237060547,144.5500030517578,23.428571701049805,143.89999389648438,23.816070556640625,144.38999938964844,712233200,87640900
2012-09-13,20.820938110351562,119.79177856445312,24.39214324951172,146.58999633789062,24.48214340209961,147.0399932861328,24.098928451538086,143.99000549316406,24.19178581237793,144.3699951171875,598360000,225470200
2012-09-14,21.073965072631836,120.32302856445312,24.68857192993164,147.24000549316406,24.89214324951172,148.11000061035156,24.5674991607666,146.75999450683594,24.641429901123047,146.8800048828125,600474000,169777000
2012-09-17,21.333091735839844,119.91434478759766,24.992143630981445,146.74000549316406,24.992856979370117,147.19000244140625,24.8075008392334,146.3699951171875,24.97678565979004,146.94000244140625,398031200,119427800
2012-09-18,21.398033142089844,119.81632995605469,25.068214416503906,146.6199951171875,25.083213806152344,146.80999755859375,24.872142791748047,146.25,24.99571418762207,146.49000549316406,373503200,98326600
2012-09-19,21.40381622314453,119.8817138671875,25.075000762939453,146.6999969482422,25.142499923706055,147.1699981689453,24.984643936157227,146.41000366210938,25.009286880493164,146.7899932861328,326874800,128318300
2012-09-20,21.3001651763916,119.88990020751953,24.953571319580078,146.7100067138672,25.00214385986328,146.7899932861328,24.77214241027832,145.6300048828125,24.969999313354492,146.02999877929688,336568400,154009800
2012-09-21,21.342540740966797,119.8397445678711,25.00321388244629,145.8699951171875,25.18107032775879,146.6699981689453,24.977142333984375,145.80999755859375,25.086071014404297,146.63999938964844,571589200,108737500
2012-09-24,21.059024810791016,119.65906524658203,24.671070098876953,145.64999389648438,24.825714111328125,145.97999572753906,24.39285659790039,145.0399932861328,24.53071403503418,145.14999389648438,639766400,95682000
